pid,name,unit,retail_price,actual_price,wholesale_price,category,description,quantity,url,enable,variant_id,brand,barcode,loose,sid
13,Vulavalu/Horse Gram / వులవలు,1 Kg,40,50,40,Animal Feeds,this item is Vulavalu/Horse Gram / వులవలు,100,https://cdn4.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1623563805318-8aacfd9c-5b1f-4ea9-975c-b14ceced972d.jpeg,True,0,,,False,1
14,Vulavalu/Horse Gram / వులవలు,5 Kg,200,250,200,Animal Feeds,this item is Vulavalu/Horse Gram / వులవలు,100,https://cdn4.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1623563805318-8aacfd9c-5b1f-4ea9-975c-b14ceced972d.jpeg,True,1,,,False,1
15,Bellam Kundu For Aqua Only,per kg,50,50,50,Aqua,this item is Bellam Kundu For Aqua Only,100,https://cdn6.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1625920323297-1decc81b-7546-46f8-b6cd-60518d47d66d.jpeg,True,0,,,False,1
16,Bleaching Powder For Aqua,per 25 kg,800,"1,000",800,Aqua,this item is Bleaching Powder For Aqua,100,https://cdn.mydukaan.io/app/image/371x371/?url=https://projecteagle.s3.ap-south-1.amazonaws.com/images/fafb3fb5-6759-47ee-9a9d-d24989f764c6.jpg,True,0,,,False,1
17,Tenisoda For Aqua/ Sodium Bicarbonate,per 25 kg,950,"1,000",950,Aqua,this item is Tenisoda For Aqua/ Sodium Bicarbonate,100,https://cdn4.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1625920218180-a7a0c133-b0e8-419f-8f6b-292d49b12d2e.jpeg,True,0,,,False,1
18,Verusenagapendi/వేరుశెనగపిండి,1 Kg,55,60,55,Aqua,this item is Verusenagapendi/వేరుశెనగపిండి,100,https://cdn6.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1623241564609-1795dffb-948e-4300-a64c-46139e35d215.jpeg,True,0,,,False,1
19,Verusenagapendi/వేరుశెనగపిండి,5 Kg,275,300,275,Aqua,this item is Verusenagapendi/వేరుశెనగపిండి,100,https://cdn6.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1623241564609-1795dffb-948e-4300-a64c-46139e35d215.jpeg,True,1,,,False,1
20,Dried Yeast For Aqua,per 500 gm,160,225,160,Aqua,this item is Dried Yeast For Aqua,100,https://cdn4.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1625920560842-aa3721be-7fd1-4e24-80d2-8a5ddb705aad.jpeg,True,0,,,False,1
21,Vamu/Ajwain,50 Gm,15,20,15,Aqua,this item is Vamu/Ajwain,100,https://cdn6.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1626002579845-1656fd36-b775-46aa-b180-7b92a7cc3b9d.jpeg,True,0,,,False,1
22,Vamu/Ajwain,100 Gm,30,35,30,Aqua,this item is Vamu/Ajwain,100,https://cdn6.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1626002579845-1656fd36-b775-46aa-b180-7b92a7cc3b9d.jpeg,True,1,,,False,1
23,Vamu/Ajwain,250 Gm,60,75,60,Aqua,this item is Vamu/Ajwain,100,https://cdn6.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1626002579845-1656fd36-b775-46aa-b180-7b92a7cc3b9d.jpeg,True,2,,,False,1
24,Vamu/Ajwain,500 Gm,110,150,110,Aqua,this item is Vamu/Ajwain,100,https://cdn6.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1626002579845-1656fd36-b775-46aa-b180-7b92a7cc3b9d.jpeg,True,3,,,False,1
25,Vamu/Ajwain,1 Kg,220,300,220,Aqua,this item is Vamu/Ajwain,100,https://cdn6.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1626002579845-1656fd36-b775-46aa-b180-7b92a7cc3b9d.jpeg,True,4,,,False,1
26,Turmaric Powder/ పసుపు పొడి లూస్/ Pasupu,50 gm,10,15,10,Aqua,this item is Turmaric Powder/ పసుపు పొడి లూస్/ Pasupu,100,https://cdn4.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619880272673-844213b9-8dfd-40d6-bb0a-a0105d72fa4e.jpeg,True,0,,,False,1
27,Turmaric Powder/ పసుపు పొడి లూస్/ Pasupu,100 gm,20,25,20,Aqua,this item is Turmaric Powder/ పసుపు పొడి లూస్/ Pasupu,100,https://cdn4.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619880272673-844213b9-8dfd-40d6-bb0a-a0105d72fa4e.jpeg,True,1,,,False,1
28,Turmaric Powder/ పసుపు పొడి లూస్/ Pasupu,250 gm,40,45,40,Aqua,this item is Turmaric Powder/ పసుపు పొడి లూస్/ Pasupu,100,https://cdn4.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619880272673-844213b9-8dfd-40d6-bb0a-a0105d72fa4e.jpeg,True,2,,,False,1
29,Turmaric Powder/ పసుపు పొడి లూస్/ Pasupu,500 gm,80,90,80,Aqua,this item is Turmaric Powder/ పసుపు పొడి లూస్/ Pasupu,100,https://cdn4.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619880272673-844213b9-8dfd-40d6-bb0a-a0105d72fa4e.jpeg,True,3,,,False,1
30,Turmaric Powder/ పసుపు పొడి లూస్/ Pasupu,1 Kg,160,180,160,Aqua,this item is Turmaric Powder/ పసుపు పొడి లూస్/ Pasupu,100,https://cdn4.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619880272673-844213b9-8dfd-40d6-bb0a-a0105d72fa4e.jpeg,True,4,,,False,1
31,మెంతులు / Fenugreek Seeds/ Menthulu,50gm,10,10,10,Aqua,this item is మెంతులు / Fenugreek Seeds/ Menthulu,100,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619166933026-10602b6e-8281-410c-932c-08dd46a5dff7.jpeg,True,0,,,False,1
32,మెంతులు / Fenugreek Seeds/ Menthulu,100gm,15,20,15,Aqua,this item is మెంతులు / Fenugreek Seeds/ Menthulu,100,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619166933026-10602b6e-8281-410c-932c-08dd46a5dff7.jpeg,True,1,,,False,1
33,మెంతులు / Fenugreek Seeds/ Menthulu,250gm,30,35,30,Aqua,this item is మెంతులు / Fenugreek Seeds/ Menthulu,100,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619166933026-10602b6e-8281-410c-932c-08dd46a5dff7.jpeg,True,2,,,False,1
34,మెంతులు / Fenugreek Seeds/ Menthulu,500gm,60,65,60,Aqua,this item is మెంతులు / Fenugreek Seeds/ Menthulu,100,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619166933026-10602b6e-8281-410c-932c-08dd46a5dff7.jpeg,True,3,,,False,1
35,మెంతులు / Fenugreek Seeds/ Menthulu,1 Kg,120,130,120,Aqua,this item is మెంతులు / Fenugreek Seeds/ Menthulu,100,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619166933026-10602b6e-8281-410c-932c-08dd46a5dff7.jpeg,True,4,,,False,1
36,Tamarind Normal/చింతపండు,250gm,35,40,35,Aqua,this item is Tamarind Normal/చింతపండు,100,https://cdn6.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619281231116-a50ddfc7-e39d-4ab5-8370-575d433368e0.jpeg,True,0,,,False,1
37,Tamarind Normal/చింతపండు,500gm,70,80,70,Aqua,this item is Tamarind Normal/చింతపండు,100,https://cdn6.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619281231116-a50ddfc7-e39d-4ab5-8370-575d433368e0.jpeg,True,1,,,False,1
38,Tamarind Normal/చింతపండు,1 Kg,140,150,140,Aqua,this item is Tamarind Normal/చింతపండు,100,https://cdn6.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619281231116-a50ddfc7-e39d-4ab5-8370-575d433368e0.jpeg,True,2,,,False,1
39,Garlic Medium Size/వెల్లులిపాయలు మీడియం సైజ్,250gm,30,35,30,Aqua,this item is Garlic Medium Size/వెల్లులిపాయలు మీడియం సైజ్,100,https://cdn6.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619281046725-40b65906-8a68-4091-9702-0003a2200269.jpeg,True,0,,,False,1
40,Garlic Medium Size/వెల్లులిపాయలు మీడియం సైజ్,500gm,60,70,60,Aqua,this item is Garlic Medium Size/వెల్లులిపాయలు మీడియం సైజ్,100,https://cdn6.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619281046725-40b65906-8a68-4091-9702-0003a2200269.jpeg,True,1,,,False,1
41,Garlic Medium Size/వెల్లులిపాయలు మీడియం సైజ్,1 Kg,120,140,120,Aqua,this item is Garlic Medium Size/వెల్లులిపాయలు మీడియం సైజ్,100,https://cdn6.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619281046725-40b65906-8a68-4091-9702-0003a2200269.jpeg,True,2,,,False,1
42,Garlic Small/చిన్న,250gm,25,30,25,Aqua,this item is Garlic Small/చిన్న,100,https://cdn4.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619280956154-4261148d-728a-4222-8685-bc81d1742728.jpeg,True,0,,,False,1
43,Garlic Small/చిన్న,500gm,50,60,50,Aqua,this item is Garlic Small/చిన్న,100,https://cdn4.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619280956154-4261148d-728a-4222-8685-bc81d1742728.jpeg,True,1,,,False,1
44,Garlic Small/చిన్న,1 Kg,100,120,100,Aqua,this item is Garlic Small/చిన్న,100,https://cdn4.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619280956154-4261148d-728a-4222-8685-bc81d1742728.jpeg,True,2,,,False,1
45,Garlic Big/పెద్ద వెల్లులిపాయలు,250gm,40,45,40,Aqua,this item is Garlic Big/పెద్ద వెల్లులిపాయలు,100,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619280980435-e4dd310d-3088-4027-871d-8348ea1561e0.jpeg,True,0,,,False,1
46,Garlic Big/పెద్ద వెల్లులిపాయలు,500gm,75,80,75,Aqua,this item is Garlic Big/పెద్ద వెల్లులిపాయలు,100,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619280980435-e4dd310d-3088-4027-871d-8348ea1561e0.jpeg,True,1,,,False,1
47,Garlic Big/పెద్ద వెల్లులిపాయలు,1 Kg,150,160,150,Aqua,this item is Garlic Big/పెద్ద వెల్లులిపాయలు,100,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619280980435-e4dd310d-3088-4027-871d-8348ea1561e0.jpeg,True,2,,,False,1
48,Varipindi/ Rice Floor,250 Gm,8,10,8,Aqua,this item is Varipindi/ Rice Floor,100,https://cdn4.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1626003776636-f75fa69d-b985-4e9b-8eef-a3f67932e7e2.jpeg,True,0,,,False,1
49,Varipindi/ Rice Floor,500 Gm,15,20,15,Aqua,this item is Varipindi/ Rice Floor,100,https://cdn4.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1626003776636-f75fa69d-b985-4e9b-8eef-a3f67932e7e2.jpeg,True,1,,,False,1
50,Varipindi/ Rice Floor,1 Kg,30,40,30,Aqua,this item is Varipindi/ Rice Floor,100,https://cdn4.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1626003776636-f75fa69d-b985-4e9b-8eef-a3f67932e7e2.jpeg,True,2,,,False,1
51,Johnson'S Baby Milk Soap/జాన్సన్ బేబీ మిల్క్ సోప్,Size: 50gm,35,35,35,Baby Care,this item is Johnson'S Baby Milk Soap/జాన్సన్ బేబీ మిల్క్ సోప్,100,https://cdn6.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/baby-care/johnson-s-baby-milk-soap-d21nr6grzu.jpg,True,0,,,False,1
52,Johnson'S Baby Oil With Vitamin E/జాన్సన్ బేబీ ఆయిల్ విత్ విటమిన్ ఇ,Size: 50ml,52,52,52,Baby Care,this item is Johnson'S Baby Oil With Vitamin E/జాన్సన్ బేబీ ఆయిల్ విత్ విటమిన్ ఇ,100,https://cdn4.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/baby-care/johnson-s-baby-oil-with-vitamin-e-amn9npe52y.jpg,True,0,,,False,1
53,Johnson'S Baby Lotion/జాన్సన్ బేబీ లోషన్,per 50 ml,45,45,45,Baby Care,this item is Johnson'S Baby Lotion/జాన్సన్ బేబీ లోషన్,100,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/baby-care/johnson-s-baby-lotion-kg6sc9qmeh.jpg,True,0,,,False,1
54,Johnson'S Baby Cream/జాన్సన్ బేబీ క్రీమ్,30gm,45,45,45,Baby Care,this item is Johnson'S Baby Cream/జాన్సన్ బేబీ క్రీమ్,100,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619759898535-5c927741-bf11-4442-b4d0-8a86d4a297f9.jpeg,True,0,,,False,1
55,Johnson'S Baby Cream/జాన్సన్ బేబీ క్రీమ్,50gm,70,70,70,Baby Care,this item is Johnson'S Baby Cream/జాన్సన్ బేబీ క్రీమ్,100,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619759898535-5c927741-bf11-4442-b4d0-8a86d4a297f9.jpeg,True,1,,,False,1
56,Johnson'S Baby Hair Oil/జాన్సన్ బేబీ హెయిర్ ఆయిల్,per 60 ml,55,55,55,Baby Care,this item is Johnson'S Baby Hair Oil/జాన్సన్ బేబీ హెయిర్ ఆయిల్,100,https://cdn4.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619760122240-f9b80b05-ba5f-46ea-b8f7-632d203f2e90.jpeg,True,0,,,False,1
57,Himalaya Baby Powder/హిమాలయ బేబీ పౌడర్,per 50 gram,35,35,35,Baby Care,this item is Himalaya Baby Powder/హిమాలయ బేబీ పౌడర్,100,https://cdn6.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619760217338-e78b3ef7-e8a0-4215-82c0-7aef37c69e82.jpeg,True,0,,,False,1
58,Johnson'S Baby Powder/జాన్సన్ బేబీ పౌడర్,50gm,40,40,40,Baby Care,this item is Johnson'S Baby Powder/జాన్సన్ బేబీ పౌడర్,100,https://cdn6.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/baby-care/johnson-s-baby-powder-80rio5dukv.jpg,True,0,,,False,1
59,Johnson'S Baby Powder/జాన్సన్ బేబీ పౌడర్,100gm,75,75,75,Baby Care,this item is Johnson'S Baby Powder/జాన్సన్ బేబీ పౌడర్,100,https://cdn6.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/baby-care/johnson-s-baby-powder-80rio5dukv.jpg,True,1,,,False,1
60,Johnson'S Baby Powder/జాన్సన్ బేబీ పౌడర్,200gm,143,143,143,Baby Care,this item is Johnson'S Baby Powder/జాన్సన్ బేబీ పౌడర్,100,https://cdn6.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/baby-care/johnson-s-baby-powder-80rio5dukv.jpg,True,2,,,False,1
61,Johnson'S Baby Powder/జాన్సన్ బేబీ పౌడర్,400gm,225,225,225,Baby Care,this item is Johnson'S Baby Powder/జాన్సన్ బేబీ పౌడర్,100,https://cdn6.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/baby-care/johnson-s-baby-powder-80rio5dukv.jpg,True,3,,,False,1
62,Woodwards Gripe Water/వుడ్వర్డ్స్ గ్రైప్ వాటర్,per 200 ml,75,75,75,Baby Care,this item is Woodwards Gripe Water/వుడ్వర్డ్స్ గ్రైప్ వాటర్,100,https://cdn4.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619775390514-efbef266-c31d-4820-9eff-6f2765003f71.jpeg,True,0,,,False,1
63,Pampers Happy Skin Pants 4-8 Kg,per 2 pc,20,20,20,Baby Care,this item is Pampers Happy Skin Pants 4-8 Kg,100,https://cdn4.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/baby-care/pampers-happy-skin-pants-xl-ltvdh2s2su.jpg,True,0,,,False,1
64,Pampers Happy Skin Pants(S) 7-12 Kg,per 2 pc,24,24,24,Baby Care,this item is Pampers Happy Skin Pants(S) 7-12 Kg,100,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/baby-care/pampers-happy-skin-pants-s-ix91vq4wrh.jpg,True,0,,,False,1
65,Pampers Happy Skin Pants(L) 9-14 Kg,per 2 pc,28,28,28,Baby Care,this item is Pampers Happy Skin Pants(L) 9-14 Kg,100,https://cdn4.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/baby-care/pampers-happy-skin-pants-l-hvhmyancq1.jpg,True,0,,,False,1
66,Pampers New Born Baby Dry Pants Upto 5 Kg,per 2 pcs,18,18,18,Baby Care,this item is Pampers New Born Baby Dry Pants Upto 5 Kg,100,https://cdn6.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/baby-care/pampers-new-born-baby-dry-pants-cpun5p76e0.jpg,True,0,,,False,1
67,Nine Diaper Pants (S) 4-8 Kg,per piece,10,10,10,Baby Care,this item is Nine Diaper Pants (S) 4-8 Kg,100,https://cdn4.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619950560608-802d0189-98e3-4b10-8e5b-1178432c0a03.jpeg,True,0,,,False,1
68,Ajay Flexo Junior Brush / అజయ్ ఫ్లెక్సో జూనియర్ బ్రష్,per piece,12,12,12,Baby Care,this item is Ajay Flexo Junior Brush / అజయ్ ఫ్లెక్సో జూనియర్ బ్రష్,100,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1620011737177-306a0580-4cb0-43b5-82a8-4e4dec3f85b3.jpeg,True,0,,,False,1
69,Johnson'S Baby Shampoo / జాన్సన్ బేబీ షాంపూ,50ml,55,55,55,Baby Care,this item is Johnson'S Baby Shampoo / జాన్సన్ బేబీ షాంపూ,100,https://cdn6.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/baby-care/johnson-s-baby-shampoo-vhovyh1m4i.jpg,True,0,,,False,1
70,Johnson'S Baby Shampoo / జాన్సన్ బేబీ షాంపూ,100ml,90,90,90,Baby Care,this item is Johnson'S Baby Shampoo / జాన్సన్ బేబీ షాంపూ,100,https://cdn6.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/baby-care/johnson-s-baby-shampoo-vhovyh1m4i.jpg,True,1,,,False,1
71,Johnson'S Baby Shampoo / జాన్సన్ బేబీ షాంపూ,200ml,180,180,180,Baby Care,this item is Johnson'S Baby Shampoo / జాన్సన్ బేబీ షాంపూ,100,https://cdn6.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/baby-care/johnson-s-baby-shampoo-vhovyh1m4i.jpg,True,2,,,False,1
72,Himalaya Baby Powder 200g (Baby Soap Free),per 200 gm,135,135,135,Baby Care,this item is Himalaya Baby Powder 200g (Baby Soap Free),100,https://cdn4.mydukaan.io/app/image/371x371/?url=https://mydukaan-prod.s3.amazonaws.com/master/products/himalaya-baby-powder-200g-baby-soap-free.jpg,True,0,,,False,1
73,Himalaya Gentle Baby Soap 75g,per 75 gm,49,50,49,Baby Care,this item is Himalaya Gentle Baby Soap 75g,100,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan-prod.s3.amazonaws.com/master/products/himalaya-gentle-baby-soap-75g.png,True,0,,,False,1
